,0.08,5,10,25
0.08,1.0,-0.10739314008238805,-0.2384288756296971,-0.5132342049558738
5,-0.10739314008238805,1.0,0.9274101163090317,-0.30163727902211906
10,-0.2384288756296971,0.9274101163090317,1.0,-0.0032643016302860398
25,-0.5132342049558738,-0.30163727902211906,-0.0032643016302860398,1.0
